iso3c,median_age,vax_day,vacc,excess_mort,uhc,gdp
COK,NA,2023-02-13,277.03262,NA,NA,NA
CUW,NA,2023-05-12,140.4492,NA,NA,23114.951
FLK,NA,2021-04-14,125.37695,NA,NA,NA
FRO,NA,2022-02-18,192.25745,-664.4474817213045,NA,NA
PYF,NA,2023-05-01,179.37651,NA,NA,NA
GIB,NA,2022-12-16,352.9271,NA,NA,NA
GGY,NA,2022-12-19,280.048,NA,NA,NA
HKG,NA,2023-05-05,278.38638,2594.7199678207435,NA,58478.883
IMN,NA,2022-06-23,225.79625,NA,NA,NA
JEY,NA,2023-01-29,257.94305,NA,NA,NA
MAC,NA,2023-04-13,255.9753,1821.1613740777102,NA,51840.14
MSR,NA,2022-12-16,103.19482000000001,NA,NA,NA
NIU,NA,2023-03-04,266.97397,NA,NA,NA
SHN,NA,2021-05-05,146.99199,NA,NA,NA
SXM,NA,2023-03-31,158.50153,NA,NA,41942.918
TKL,NA,2022-12-05,232.43945,NA,NA,NA
TCA,NA,2023-01-06,161.12625,NA,NA,20718.389
WLF,NA,2023-01-23,157.01244,NA,NA,NA
GLP,NA,NA,NA,3709.392336572362,NA,NA
MTQ,NA,NA,NA,3461.7107858540794,NA,NA
MYT,NA,NA,NA,1502.8908304997622,NA,NA
REU,NA,NA,NA,1094.2473848752743,NA,NA
